CODIGO;LOJA;NOME;NOMEREDUZIDO;TIPO;PESSOA;CNPJCPF;INSCRESTADUAL;CEP;ENDERECO;BAIRRO;CIDADE;UF;TELEFONE;EMAIL
000004;01;Ana Sophia Araújo;Ana Sophia Araú;C;F;23506871000187;ISENTO;79402654;Rodovia Araújo;Serra Do Curral;Viana;PA;+555181960013;levicunha@ig.com.br
000005;01;Dr. Augusto Ramos;Dr. Augusto Ram;C;J;83560174244;ISENTO;92832764;Vereda Thomas da Cruz;Mariquinhas;da Rocha Paulista;RR;+5508403413164;jcardoso@moreira.net
000006;01;Bernardo da Rosa;Bernardo da Ros;C;F;67480523000153;ISENTO;01226916;Trecho Alana Moreira;Estrela;Silva;PR;05124238849;manuelasales@uol.com.br
000007;01;Sr. Gustavo Pinto;Sr. Gustavo Pin;C;J;18295364782;ISENTO;43039117;Rua de Almeida;Universo;Rodrigues do Sul;AM;2114893252;ualmeida@santos.com
000008;01;Marcelo da Paz;Marcelo da Paz;C;F;82713560000158;ISENTO;05183473;Trecho das Neves;Ademar Maldonado;Caldeira;ES;04113315098;cmoura@bol.com.br
000009;01;Rafael Pinto;Rafael Pinto;C;J;32697150803;ISENTO;17810801;Praia de Cunha;Novo Aarão Reis;Freitas;PB;+5507110651333;doliveira@ig.com.br
000010;01;Agatha Nogueira;Agatha Nogueira;C;F;13047829000191;ISENTO;81219136;Largo Caldeira;Baleia;Santos de Souza;CE;8472343098;bgomes@ig.com.br
000011;01;Raul Lopes;Raul Lopes;C;J;12406793869;ISENTO;78498084;Conjunto Samuel Campos;Santo Antônio;Moura;MA;+5502179911838;agatha24@lopes.com
000012;01;Cecília Mendes;Cecília Mendes;C;F;50917684000169;ISENTO;59826204;Praça de Alves;Camponesa 2ª Seção;da Costa;PI;+558400524278;clarice74@carvalho.br
000013;01;Júlia da Costa;Júlia da Costa;C;J;85072196321;ISENTO;65414586;Quadra Monteiro;Jatobá;das Neves;AC;8134216073;joao-gabrieloliveira@da.br
000014;01;Larissa Monteiro;Larissa Monteir;C;F;82375619000145;ISENTO;14846564;Viaduto de da Paz;Marieta 2ª Seção;Campos Alegre;RN;05003406088;hsilva@uol.com.br
